-1 0.5 100268421-284019855|u_i 0 0 0 0 0 6 0 0 1 0 0 0 1 0 6 1 0 0 0 0 0 0 0 1 6 1 0 1 0 0 0 0 0 0 0 0 |y_h 3 1 166 1 0 0 2 0 0 0 0 0 0 0 0 0 1 3 1 189 1 3 1 168 0 0 0 0 0 21 0 0 0 0 0 0 |s_p 1 1 0 9 0 0 0 0 0 1 0 1 7 0 0 0 0 0 2 0 0 0 0 0 0 0 9 0 1 0 0 1 0 0 0 0 |i_c 21583 0 620 0 0 454 0 59 56 13187 12741 279 296 269 164 36746 824 796 317 275 2254 2454 619 48 50 252 283 11964 321 101376 13338 12041 223 272 55 311 |f_s Worked 95ridd7 1863 V 
-1 0.5 109802727-56489946|u_i 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 6 0 36 0 0 10 120 0 0 1 0 48 0 0 0 0 0 41 0 474 0 18 7 190 0 2 2 0 6 44 5 0 34 100 0 9 |s_p 1 0 1 37 2 0 1 17 1 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 6 5 0 0 0 0 0 0 0 0 0 |i_c 2429 0 159 0 0 24 0 18 15 1152 917 39 14 24 64 3770 74 156 12 29 149 482 213 12 19 64 15 1396 46 10081 1133 1457 46 35 27 109 |f_s Worked  8291 II 
-1 0.5 109802727-56489946|u_i 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 6 0 36 0 0 10 120 0 0 1 0 48 0 0 0 0 0 41 0 474 0 18 7 190 0 2 2 0 6 44 5 0 34 100 0 9 |s_p 1 0 1 37 2 0 1 17 1 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 6 5 0 0 0 0 0 0 0 0 0 |i_c 2429 0 159 0 0 24 0 18 15 1152 917 39 14 24 64 3770 74 156 12 29 149 482 213 12 19 64 15 1396 46 10081 1133 1457 46 35 27 109 |f_s Worked  8291 II 
-1 0.5 109802727-266907147|u_i 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 6 0 36 0 0 10 120 0 0 1 0 48 0 0 0 0 0 41 0 474 0 18 7 190 0 2 2 0 6 44 5 0 34 100 0 9 |s_p 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |i_c 11 0 0 0 0 0 0 0 0 0 7 0 0 0 0 37 0 1 0 0 0 1 1 0 0 1 0 18 0 54 6 12 0 0 0 1 |f_s Worked 99ctk96 9117 V 
-1 0.5 100014756-126384452|u_i 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 1 0 65 0 1 3 34 0 0 3 0 92 0 0 0 0 2 19 0 474 1 4 4 115 0 0 3 1 7 95 0 0 16 51 0 2 |s_p 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |i_c 1892 0 38 0 0 32 0 2 2 1426 1186 22 22 24 3 4248 86 89 33 37 213 217 20 1 1 27 24 1426 18 10756 1587 1636 44 38 0 13 |f_s Worked 96ndiuj 2953 III 
-1 0.5 100699909-172512779|u_i 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 6 3 70 0 1 1 15 0 0 4 0 23 0 0 0 0 5 12 0 122 4 7 0 86 0 0 0 0 0 0 0 0 1 13 1 1 |s_p 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |i_c 4600 0 154 0 0 70 0 9 17 2749 2720 51 100 69 37 8230 176 209 70 56 493 591 158 10 12 79 61 3006 72 22752 3069 2504 58 46 16 78 |f_s Worked  14079 V 
-1 0.5 100699909-238545696|u_i 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 6 3 70 0 1 1 15 0 0 4 0 23 0 0 0 0 5 12 0 122 4 7 0 86 0 0 0 0 0 0 0 0 1 13 1 1 |s_p 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |i_c 4600 0 154 0 0 70 0 9 17 2749 2720 51 100 69 37 8230 176 209 70 56 493 591 158 10 12 79 61 3006 72 22752 3069 2504 58 46 16 78 |f_s Worked  14079 V 
-1 0.5 100699909-380294163|u_i 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 6 3 70 0 1 1 15 0 0 4 0 23 0 0 0 0 5 12 0 122 4 7 0 86 0 0 0 0 0 0 0 0 1 13 1 1 |s_p 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |i_c 4600 0 154 0 0 70 0 9 17 2749 2720 51 100 69 37 8230 176 209 70 56 493 591 158 10 12 79 61 3006 72 22752 3069 2504 58 46 16 78 |f_s Worked  14079 V 
-1 0.5 103299356-283559748|u_i 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 0 0 42 0 0 6 90 0 0 18 2 295 0 0 0 0 12 164 0 1692 1 19 6 316 1 13 6 1 104 649 0 0 184 96 0 7 |s_p 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |i_c 21583 0 620 0 0 454 0 59 56 13187 12741 279 296 269 164 36746 824 796 317 275 2254 2454 619 48 50 252 283 11964 321 101376 13338 12041 223 272 55 311 |f_s Worked  1863 II 
-1 0.5 100014756-207647778|u_i 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |y_h 1 0 65 0 1 3 34 0 0 3 0 92 0 0 0 0 2 19 0 474 1 4 4 115 0 0 3 1 7 95 0 0 16 51 0 2 |s_p 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 |i_c 8342 0 310 0 0 107 0 53 49 4556 4349 167 61 65 152 12972 202 355 77 123 539 1168 465 29 55 130 77 4673 128 35813 4305 3950 97 60 44 191 |f_s Worked 96ndiuj 5232 V 
